tanggal,hari,jam,menit_mulai,interval,jumlah_kendaraan,is_weekend,ada_jukir,catatan
2025-01-06,Monday,16,30,16:30,5,False,True,DUMMY - ganti dengan data observasi
2025-01-06,Monday,16,45,16:45,5,False,True,DUMMY - ganti dengan data observasi
2025-01-06,Monday,17,0,17:00,4,False,True,DUMMY - ganti dengan data observasi
2025-01-06,Monday,17,15,17:15,7,False,True,DUMMY - ganti dengan data observasi
2025-01-06,Monday,17,30,17:30,8,False,True,DUMMY - ganti dengan data observasi
2025-01-06,Monday,17,45,17:45,6,False,True,DUMMY - ganti dengan data observasi
2025-01-06,Monday,18,0,18:00,5,False,True,DUMMY - ganti dengan data observasi
2025-01-06,Monday,18,15,18:15,9,False,True,DUMMY - ganti dengan data observasi
2025-01-06,Monday,18,30,18:30,7,False,True,DUMMY - ganti dengan data observasi
2025-01-06,Monday,18,45,18:45,4,False,True,DUMMY - ganti dengan data observasi
2025-01-06,Monday,19,0,19:00,1,False,True,DUMMY - ganti dengan data observasi
2025-01-06,Monday,19,15,19:15,1,False,True,DUMMY - ganti dengan data observasi
2025-01-06,Monday,19,30,19:30,1,False,True,DUMMY - ganti dengan data observasi
2025-01-06,Monday,19,45,19:45,0,False,True,DUMMY - ganti dengan data observasi
2025-01-06,Monday,20,0,20:00,0,False,False,DUMMY - ganti dengan data observasi
2025-01-06,Monday,20,15,20:15,1,False,False,DUMMY - ganti dengan data observasi
2025-01-06,Monday,20,30,20:30,3,False,False,DUMMY - ganti dengan data observasi
2025-01-06,Monday,20,45,20:45,3,False,False,DUMMY - ganti dengan data observasi
2025-01-07,Tuesday,7,0,07:00,1,False,False,DUMMY - ganti dengan data observasi
2025-01-07,Tuesday,7,15,07:15,2,False,False,DUMMY - ganti dengan data observasi
2025-01-07,Tuesday,7,30,07:30,0,False,False,DUMMY - ganti dengan data observasi
2025-01-07,Tuesday,7,45,07:45,2,False,False,DUMMY - ganti dengan data observasi
2025-01-07,Tuesday,8,0,08:00,1,False,True,DUMMY - ganti dengan data observasi
2025-01-07,Tuesday,8,15,08:15,1,False,True,DUMMY - ganti dengan data observasi
2025-01-07,Tuesday,8,30,08:30,7,False,True,DUMMY - ganti dengan data observasi
2025-01-07,Tuesday,8,45,08:45,3,False,True,DUMMY - ganti dengan data observasi
2025-01-07,Tuesday,9,0,09:00,3,False,True,DUMMY - ganti dengan data observasi
2025-01-07,Tuesday,9,15,09:15,3,False,True,DUMMY - ganti dengan data observasi
2025-01-07,Tuesday,9,30,09:30,4,False,True,DUMMY - ganti dengan data observasi
2025-01-07,Tuesday,9,45,09:45,8,False,True,DUMMY - ganti dengan data observasi
2025-01-07,Tuesday,10,0,10:00,4,False,True,DUMMY - ganti dengan data observasi
2025-01-07,Tuesday,10,15,10:15,3,False,True,DUMMY - ganti dengan data observasi
2025-01-07,Tuesday,10,30,10:30,3,False,True,DUMMY - ganti dengan data observasi
2025-01-07,Tuesday,10,45,10:45,8,False,True,DUMMY - ganti dengan data observasi
2025-01-07,Tuesday,11,0,11:00,8,False,True,DUMMY - ganti dengan data observasi
2025-01-07,Tuesday,11,15,11:15,4,False,True,DUMMY - ganti dengan data observasi
2025-01-07,Tuesday,11,30,11:30,8,False,True,DUMMY - ganti dengan data observasi
2025-01-07,Tuesday,11,45,11:45,4,False,True,DUMMY - ganti dengan data observasi
2025-01-07,Tuesday,12,0,12:00,10,False,True,DUMMY - ganti dengan data observasi
2025-01-07,Tuesday,12,15,12:15,5,False,True,DUMMY - ganti dengan data observasi
2025-01-07,Tuesday,12,30,12:30,8,False,True,DUMMY - ganti dengan data observasi
2025-01-07,Tuesday,12,45,12:45,8,False,True,DUMMY - ganti dengan data observasi
2025-01-07,Tuesday,13,0,13:00,2,False,True,DUMMY - ganti dengan data observasi
2025-01-07,Tuesday,13,15,13:15,5,False,True,DUMMY - ganti dengan data observasi
2025-01-07,Tuesday,13,30,13:30,0,False,True,DUMMY - ganti dengan data observasi
2025-01-07,Tuesday,13,45,13:45,3,False,True,DUMMY - ganti dengan data observasi
2025-01-07,Tuesday,14,0,14:00,7,False,True,DUMMY - ganti dengan data observasi
2025-01-07,Tuesday,14,15,14:15,3,False,True,DUMMY - ganti dengan data observasi
2025-01-07,Tuesday,14,30,14:30,5,False,True,DUMMY - ganti dengan data observasi
2025-01-07,Tuesday,14,45,14:45,5,False,True,DUMMY - ganti dengan data observasi
2025-01-07,Tuesday,15,0,15:00,4,False,True,DUMMY - ganti dengan data observasi
2025-01-07,Tuesday,15,15,15:15,7,False,True,DUMMY - ganti dengan data observasi
2025-01-07,Tuesday,15,30,15:30,7,False,True,DUMMY - ganti dengan data observasi
2025-01-07,Tuesday,15,45,15:45,2,False,True,DUMMY - ganti dengan data observasi
2025-01-07,Tuesday,16,0,16:00,6,False,True,DUMMY - ganti dengan data observasi
2025-01-07,Tuesday,16,15,16:15,2,False,True,DUMMY - ganti dengan data observasi
2025-01-07,Tuesday,16,30,16:30,6,False,True,DUMMY - ganti dengan data observasi
2025-01-07,Tuesday,16,45,16:45,7,False,True,DUMMY - ganti dengan data observasi
2025-01-07,Tuesday,17,0,17:00,9,False,True,DUMMY - ganti dengan data observasi
2025-01-07,Tuesday,17,15,17:15,3,False,True,DUMMY - ganti dengan data observasi
2025-01-07,Tuesday,17,30,17:30,4,False,True,DUMMY - ganti dengan data observasi
2025-01-07,Tuesday,17,45,17:45,6,False,True,DUMMY - ganti dengan data observasi
2025-01-07,Tuesday,18,0,18:00,8,False,True,DUMMY - ganti dengan data observasi
2025-01-07,Tuesday,18,15,18:15,6,False,True,DUMMY - ganti dengan data observasi
2025-01-07,Tuesday,18,30,18:30,5,False,True,DUMMY - ganti dengan data observasi
2025-01-07,Tuesday,18,45,18:45,6,False,True,DUMMY - ganti dengan data observasi
2025-01-07,Tuesday,19,0,19:00,1,False,True,DUMMY - ganti dengan data observasi
2025-01-07,Tuesday,19,15,19:15,3,False,True,DUMMY - ganti dengan data observasi
2025-01-07,Tuesday,19,30,19:30,2,False,True,DUMMY - ganti dengan data observasi
2025-01-07,Tuesday,19,45,19:45,3,False,True,DUMMY - ganti dengan data observasi
2025-01-07,Tuesday,20,0,20:00,2,False,False,DUMMY - ganti dengan data observasi
2025-01-07,Tuesday,20,15,20:15,4,False,False,DUMMY - ganti dengan data observasi
2025-01-07,Tuesday,20,30,20:30,4,False,False,DUMMY - ganti dengan data observasi
2025-01-07,Tuesday,20,45,20:45,1,False,False,DUMMY - ganti dengan data observasi
2025-01-08,Wednesday,7,0,07:00,3,False,False,DUMMY - ganti dengan data observasi
2025-01-08,Wednesday,7,15,07:15,1,False,False,DUMMY - ganti dengan data observasi
2025-01-08,Wednesday,7,30,07:30,0,False,False,DUMMY - ganti dengan data observasi
2025-01-08,Wednesday,7,45,07:45,2,False,False,DUMMY - ganti dengan data observasi
2025-01-08,Wednesday,8,0,08:00,1,False,True,DUMMY - ganti dengan data observasi
2025-01-08,Wednesday,8,15,08:15,2,False,True,DUMMY - ganti dengan data observasi
2025-01-08,Wednesday,8,30,08:30,7,False,True,DUMMY - ganti dengan data observasi
2025-01-08,Wednesday,8,45,08:45,1,False,True,DUMMY - ganti dengan data observasi
2025-01-08,Wednesday,9,0,09:00,8,False,True,DUMMY - ganti dengan data observasi
2025-01-08,Wednesday,9,15,09:15,2,False,True,DUMMY - ganti dengan data observasi
2025-01-08,Wednesday,9,30,09:30,7,False,True,DUMMY - ganti dengan data observasi
2025-01-08,Wednesday,9,45,09:45,4,False,True,DUMMY - ganti dengan data observasi
2025-01-08,Wednesday,10,0,10:00,1,False,True,DUMMY - ganti dengan data observasi
2025-01-08,Wednesday,10,15,10:15,6,False,True,DUMMY - ganti dengan data observasi
2025-01-08,Wednesday,10,30,10:30,1,False,True,DUMMY - ganti dengan data observasi
2025-01-08,Wednesday,10,45,10:45,2,False,True,DUMMY - ganti dengan data observasi
2025-01-08,Wednesday,11,0,11:00,4,False,True,DUMMY - ganti dengan data observasi
2025-01-08,Wednesday,11,15,11:15,7,False,True,DUMMY - ganti dengan data observasi
2025-01-08,Wednesday,11,30,11:30,3,False,True,DUMMY - ganti dengan data observasi
2025-01-08,Wednesday,11,45,11:45,6,False,True,DUMMY - ganti dengan data observasi
2025-01-08,Wednesday,12,0,12:00,8,False,True,DUMMY - ganti dengan data observasi
2025-01-08,Wednesday,12,15,12:15,2,False,True,DUMMY - ganti dengan data observasi
2025-01-08,Wednesday,12,30,12:30,9,False,True,DUMMY - ganti dengan data observasi
2025-01-08,Wednesday,12,45,12:45,7,False,True,DUMMY - ganti dengan data observasi
2025-01-08,Wednesday,13,0,13:00,4,False,True,DUMMY - ganti dengan data observasi
2025-01-08,Wednesday,13,15,13:15,9,False,True,DUMMY - ganti dengan data observasi
2025-01-08,Wednesday,13,30,13:30,5,False,True,DUMMY - ganti dengan data observasi
2025-01-08,Wednesday,13,45,13:45,2,False,True,DUMMY - ganti dengan data observasi
2025-01-08,Wednesday,14,0,14:00,1,False,True,DUMMY - ganti dengan data observasi
2025-01-08,Wednesday,14,15,14:15,3,False,True,DUMMY - ganti dengan data observasi
2025-01-08,Wednesday,14,30,14:30,1,False,True,DUMMY - ganti dengan data observasi
2025-01-08,Wednesday,14,45,14:45,3,False,True,DUMMY - ganti dengan data observasi
2025-01-08,Wednesday,15,0,15:00,3,False,True,DUMMY - ganti dengan data observasi
2025-01-08,Wednesday,15,15,15:15,2,False,True,DUMMY - ganti dengan data observasi
2025-01-08,Wednesday,15,30,15:30,6,False,True,DUMMY - ganti dengan data observasi
2025-01-08,Wednesday,15,45,15:45,4,False,True,DUMMY - ganti dengan data observasi
2025-01-08,Wednesday,16,0,16:00,4,False,True,DUMMY - ganti dengan data observasi
2025-01-08,Wednesday,16,15,16:15,2,False,True,DUMMY - ganti dengan data observasi
2025-01-08,Wednesday,16,30,16:30,2,False,True,DUMMY - ganti dengan data observasi
2025-01-08,Wednesday,16,45,16:45,1,False,True,DUMMY - ganti dengan data observasi
2025-01-08,Wednesday,17,0,17:00,5,False,True,DUMMY - ganti dengan data observasi
2025-01-08,Wednesday,17,15,17:15,10,False,True,DUMMY - ganti dengan data observasi
2025-01-08,Wednesday,17,30,17:30,7,False,True,DUMMY - ganti dengan data observasi
2025-01-08,Wednesday,17,45,17:45,2,False,True,DUMMY - ganti dengan data observasi
2025-01-08,Wednesday,18,0,18:00,7,False,True,DUMMY - ganti dengan data observasi
2025-01-08,Wednesday,18,15,18:15,5,False,True,DUMMY - ganti dengan data observasi
2025-01-08,Wednesday,18,30,18:30,3,False,True,DUMMY - ganti dengan data observasi
2025-01-08,Wednesday,18,45,18:45,7,False,True,DUMMY - ganti dengan data observasi
2025-01-08,Wednesday,19,0,19:00,2,False,True,DUMMY - ganti dengan data observasi
2025-01-08,Wednesday,19,15,19:15,2,False,True,DUMMY - ganti dengan data observasi
2025-01-08,Wednesday,19,30,19:30,2,False,True,DUMMY - ganti dengan data observasi
2025-01-08,Wednesday,19,45,19:45,3,False,True,DUMMY - ganti dengan data observasi
2025-01-08,Wednesday,20,0,20:00,4,False,False,DUMMY - ganti dengan data observasi
2025-01-08,Wednesday,20,15,20:15,3,False,False,DUMMY - ganti dengan data observasi
2025-01-08,Wednesday,20,30,20:30,3,False,False,DUMMY - ganti dengan data observasi
2025-01-08,Wednesday,20,45,20:45,2,False,False,DUMMY - ganti dengan data observasi
