id_responden,jenis_kendaraan,spending_rp,catatan
R0035,motor,16000,DUMMY - ganti dengan survei/data kasir
R0036,mobil,5000,DUMMY - ganti dengan survei/data kasir
R0037,mobil,119000,DUMMY - ganti dengan survei/data kasir
R0038,motor,5000,DUMMY - ganti dengan survei/data kasir
R0039,motor,60000,DUMMY - ganti dengan survei/data kasir
R0040,motor,28000,DUMMY - ganti dengan survei/data kasir
R0041,motor,51000,DUMMY - ganti dengan survei/data kasir
R0042,mobil,103000,DUMMY - ganti dengan survei/data kasir
R0043,motor,72000,DUMMY - ganti dengan survei/data kasir
R0044,motor,43000,DUMMY - ganti dengan survei/data kasir
R0045,motor,59000,DUMMY - ganti dengan survei/data kasir
R0046,motor,24000,DUMMY - ganti dengan survei/data kasir
R0047,motor,5000,DUMMY - ganti dengan survei/data kasir
R0048,motor,54000,DUMMY - ganti dengan survei/data kasir
R0049,motor,5000,DUMMY - ganti dengan survei/data kasir
R0050,motor,50000,DUMMY - ganti dengan survei/data kasir
R0051,motor,14000,DUMMY - ganti dengan survei/data kasir
R0052,mobil,97000,DUMMY - ganti dengan survei/data kasir
R0053,mobil,169000,DUMMY - ganti dengan survei/data kasir
R0054,motor,48000,DUMMY - ganti dengan survei/data kasir
R0055,mobil,75000,DUMMY - ganti dengan survei/data kasir
R0056,motor,44000,DUMMY - ganti dengan survei/data kasir
R0057,motor,24000,DUMMY - ganti dengan survei/data kasir
R0058,mobil,189000,DUMMY - ganti dengan survei/data kasir
R0059,motor,20000,DUMMY - ganti dengan survei/data kasir
R0060,motor,33000,DUMMY - ganti dengan survei/data kasir
R0061,motor,46000,DUMMY - ganti dengan survei/data kasir
R0062,mobil,101000,DUMMY - ganti dengan survei/data kasir
R0063,mobil,106000,DUMMY - ganti dengan survei/data kasir
R0064,motor,25000,DUMMY - ganti dengan survei/data kasir
R0065,motor,30000,DUMMY - ganti dengan survei/data kasir
R0066,motor,53000,DUMMY - ganti dengan survei/data kasir
R0067,mobil,124000,DUMMY - ganti dengan survei/data kasir
R0068,motor,43000,DUMMY - ganti dengan survei/data kasir
R0069,mobil,145000,DUMMY - ganti dengan survei/data kasir
R0070,mobil,128000,DUMMY - ganti dengan survei/data kasir
R0071,mobil,122000,DUMMY - ganti dengan survei/data kasir
R0072,mobil,13000,DUMMY - ganti dengan survei/data kasir
R0073,motor,42000,DUMMY - ganti dengan survei/data kasir
R0074,motor,39000,DUMMY - ganti dengan survei/data kasir
R0075,mobil,151000,DUMMY - ganti dengan survei/data kasir
R0076,motor,5000,DUMMY - ganti dengan survei/data kasir
R0077,motor,32000,DUMMY - ganti dengan survei/data kasir
R0078,motor,37000,DUMMY - ganti dengan survei/data kasir
R0079,motor,13000,DUMMY - ganti dengan survei/data kasir
R0080,mobil,44000,DUMMY - ganti dengan survei/data kasir
R0081,mobil,151000,DUMMY - ganti dengan survei/data kasir
R0082,motor,44000,DUMMY - ganti dengan survei/data kasir
R0083,motor,72000,DUMMY - ganti dengan survei/data kasir
R0084,motor,31000,DUMMY - ganti dengan survei/data kasir
R0085,mobil,22000,DUMMY - ganti dengan survei/data kasir
R0086,motor,29000,DUMMY - ganti dengan survei/data kasir
R0087,motor,25000,DUMMY - ganti dengan survei/data kasir
R0088,motor,49000,DUMMY - ganti dengan survei/data kasir
R0089,mobil,114000,DUMMY - ganti dengan survei/data kasir
R0090,motor,45000,DUMMY - ganti dengan survei/data kasir
R0091,mobil,185000,DUMMY - ganti dengan survei/data kasir
R0092,mobil,142000,DUMMY - ganti dengan survei/data kasir
R0093,motor,18000,DUMMY - ganti dengan survei/data kasir
R0094,motor,55000,DUMMY - ganti dengan survei/data kasir
R0095,mobil,86000,DUMMY - ganti dengan survei/data kasir
R0096,mobil,76000,DUMMY - ganti dengan survei/data kasir
R0097,motor,63000,DUMMY - ganti dengan survei/data kasir
R0098,motor,17000,DUMMY - ganti dengan survei/data kasir
R0099,motor,53000,DUMMY - ganti dengan survei/data kasir
R0100,motor,50000,DUMMY - ganti dengan survei/data kasir
