id_kendaraan,jenis,jam_masuk,durasi_menit,ada_jukir,catatan
VH0023,motor,10,27.7,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0024,mobil,18,32.5,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0025,motor,14,25.6,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0026,motor,14,12.5,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0027,motor,13,15.8,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0028,motor,18,19.4,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0029,motor,7,14.1,False,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0030,motor,8,14.1,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0031,mobil,12,20.0,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0032,motor,12,12.8,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0033,motor,14,9.2,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0034,motor,17,10.8,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0035,motor,15,18.2,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0036,motor,10,13.3,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0037,motor,11,15.7,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0038,motor,17,18.5,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0039,motor,9,11.0,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0040,mobil,14,19.3,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0041,motor,14,16.0,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0042,motor,17,7.1,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0043,mobil,17,27.2,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0044,mobil,13,10.3,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0045,motor,11,5.8,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0046,motor,12,7.8,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0047,motor,12,7.9,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0048,motor,10,13.6,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0049,motor,15,11.5,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0050,motor,9,11.2,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0051,motor,16,18.0,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0052,motor,17,15.7,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0053,mobil,20,15.5,False,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0054,motor,8,16.2,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0055,motor,17,18.0,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0056,motor,8,4.6,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0057,motor,11,11.0,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0058,motor,9,4.4,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0059,mobil,9,13.5,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0060,mobil,9,13.2,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0061,mobil,7,22.3,False,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0062,mobil,18,24.0,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0063,mobil,7,14.6,False,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0064,mobil,12,10.3,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0065,motor,16,16.9,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0066,motor,20,10.2,False,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0067,motor,18,13.2,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0068,motor,8,21.7,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0069,motor,20,10.0,False,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0070,mobil,16,19.8,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0071,motor,9,18.6,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0072,motor,13,8.2,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0073,motor,19,21.5,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0074,motor,12,18.8,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0075,motor,9,13.9,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0076,mobil,19,9.0,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0077,motor,20,8.6,False,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0078,motor,20,10.1,False,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0079,motor,20,17.4,False,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0080,motor,19,8.2,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0081,motor,13,16.5,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0082,mobil,9,7.1,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0083,mobil,15,12.0,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0084,motor,10,14.0,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0085,mobil,13,45.0,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0086,motor,16,6.6,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0087,mobil,20,27.6,False,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0088,motor,11,14.3,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0089,motor,10,16.3,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0090,mobil,17,14.0,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0091,motor,7,16.5,False,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0092,motor,14,12.3,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0093,motor,17,27.4,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0094,motor,14,10.5,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0095,motor,12,23.3,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0096,mobil,18,9.6,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0097,mobil,12,12.8,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0098,motor,16,7.7,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0099,motor,13,16.6,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0100,motor,7,27.3,False,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0101,motor,14,12.7,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0102,motor,7,12.0,False,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0103,mobil,20,7.6,False,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0104,mobil,15,11.8,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0105,mobil,12,6.0,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0106,motor,13,8.4,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0107,motor,15,14.8,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0108,motor,10,25.6,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0109,motor,11,54.0,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0110,motor,12,9.9,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0111,motor,10,27.1,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0112,motor,17,15.0,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0113,mobil,8,12.3,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0114,motor,18,16.4,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0115,mobil,11,13.7,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0116,motor,14,14.0,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0117,motor,9,10.8,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0118,motor,12,6.6,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0119,motor,17,6.1,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0120,motor,10,18.4,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0121,motor,8,11.5,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0122,mobil,14,9.8,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0123,motor,9,13.3,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0124,motor,11,19.7,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0125,motor,13,14.5,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0126,motor,14,9.5,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0127,motor,15,24.4,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0128,motor,16,29.2,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0129,mobil,18,17.0,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0130,mobil,7,21.5,False,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0131,motor,12,24.6,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0132,motor,7,23.3,False,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0133,motor,7,18.0,False,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0134,mobil,9,17.9,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0135,motor,15,17.2,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0136,motor,19,7.6,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0137,motor,17,18.8,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0138,mobil,16,6.7,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0139,motor,17,8.9,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0140,mobil,9,25.4,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0141,mobil,18,20.2,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0142,motor,19,27.9,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0143,mobil,8,11.6,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0144,motor,13,7.4,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0145,motor,18,11.7,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0146,motor,13,13.9,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0147,mobil,18,13.8,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0148,motor,20,23.3,False,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0149,motor,13,11.0,True,DUMMY - ganti dengan observasi timestamp masuk/keluar
VH0150,motor,7,15.8,False,DUMMY - ganti dengan observasi timestamp masuk/keluar
